Data,Manutenção Corretiva,Manutenção Preventiva,Outras Atividades,Status UFV
2025-07-14,,,,
2025-07-01,":
Local: COR1 e COR2
Atividade: Trackers parados por falhas, voltaram a operar após atuação.
Local: COR1 e COR2
Atividade: Acompanhamento Soltec - Atendimento à garantia - acompanhamento da equipe de campo para testes e verificações de falhas de trackers em campos. Alinhamento de pendências (ft. Fernando; Daniel; André).",,":
Preenchimento de documentação.
Treinamento procedimento L.O.T.O (concluído).",":
Inversores: todos em operação.
Combiner Box: todas em operação.
Trackers: todos em operação.
Módulos FTV: em operação, exceto os danificados por descargas atmosféricas."
2025-07-02,":
Atividade: Trackers parados por falhas - retornaram à operação após atuação.
PCS1.1 TR97 - TCU em modo fact; Tracker parado (error no inject)
Atividade: Abertura de chamados à garantia Soltec: todas falhas recorrentes diariamente em TCUs, para tratativa com a fabricante.",":
Local: PCS2.1
Atividade: Plano - PCS/SKID Check-list Quinzenal (concluído).
Plano - PCS/SKID Check-list Mensal (concluído).
Local: PCS2.2
Atividade: Plano - PCS/SKID Check-list Quinzenal (concluído).
Plano - PCS/SKID Check-list Mensal (concluído).
Local: Coromandel 2 ESTM-1
Atividade: Plano - Estação Meteorológica Check-list Mensal (concluído).",":
Reunião para alinhamento de planos de manutenção Sismetro + pendências Sungrow/Soltec (Fernando D.).
Preenchimento de documentações.
Reunião de equipe técnica SISMETRO.",":
Inversores: todos em operação.
Combiner Box: todas em operação.
Trackers: 1 parado (inject).
Módulos FTV: em operação, exceto os danificados por descargas atmosféricas."
2025-07-03,":
Local: COR1 e COR2
Atividade: Trackers parados por falhas, voltaram a operar após atuação.
PCS1.1 TR97 - TCU em modo fact após falha; Realizado inject (operando normalmente).
PCS2.2 TR24 - TCU em modo fact após falha; Realizado inject (operando normalmente).
Local: PCS2.2 TR24
Atividade: Tracker parado por falha de motor - após falha persistir foi realizada substituição de motor avariado - logo após, tracker operou normalmente sem falhas (concluído).",":
Local: PCS1.1 SKID
Atividade: Plano Skid - Checklist Mensal/Quinzenal (concluído).
Local: PCS1.2 SKID
Atividade: Plano Skid - Checklist Mensal/Quinzenal (concluído).
Local: PCS2.3
Atividade: Plano PCS / SKID Check-list Quinzenal (concluído).
Plano PCS / SKID Check-list Mensal (concluído).
Local: PCS2.4
Atividade: Plano PCS / SKID Check-list Quinzenal (concluído).
Plano PCS / SKID Check-list Mensal (concluído).
Local: PCS2.5
Atividade: Plano PCS / SKID Check-list Quinzenal (concluído).
Plano PCS / SKID Check-list Mensal (concluído).",":
Preenchimento de documentação.",":
Inversores: todos em operação.
Combiner Box: todas em operação.
Trackers: todos em operação.
Módulos FTV: em operação, exceto os danificados por descargas atmosféricas."
2025-07-04,":
Local: COR1 e COR2
Atividade: Trackers parados por falhas, voltaram a operar após atuação.",":
Local: PCS1.1 INV1
Atividade: Plano Combiner Box - verificações de performance (em andamento).
Local: PCS2.1 INV-1 e INV-2
Atividade: Plano Combiner Box - verificações de performance (em andamento). Apoio: André e Arenilson.",":
Preenchimento de documentação.",":
Inversores: todos em operação.
Combiner Box: todas em operação.
Trackers: todos em operação.
Módulos FTV: em operação, exceto os danificados por descargas atmosféricas."
2025-07-05,":
Local: COR1 & COR2
Atividade: Atuação em trackers parados por falhas - retornou a operação após correção.
Atividade: Monitoramento remoto de equipamentos e acompanhamento diário de geração da UFV via Scada.",,":
Preenchimento de documentações.",":
Inversores: todos em operação.
Combiner Box: todas em operação.
Trackers: todos em operação.
Módulos FTV: em operação, exceto os danificados por descargas atmosféricas."
2025-07-06,":
Local: COR1 & COR2
Atividade: Atuação em trackers parados por falhas - retornou a operação após correção.
Local: PCS2.5 INV-1
Atividade: Módulo 1 não partiu por falha (Impedância de Isolação). Partiu normalmente após intervenção.
Local: PCS2.1 INV-2
Atividade: Inversor limitou por falha (Ventilador Fan 1). Substituído; inversor opera normalmente após atuação.
Atividade: Monitoramento remoto de equipamentos e acompanhamento diário de geração da UFV via Scada.",,":
Preenchimento de documentações.
Execução do treinamento LOTO - Bloqueio e Sinalização.",":
Inversores: todos em operação.
Combiner Box: todas em operação.
Trackers: todos em operação.
Módulos FTV: em operação, exceto os danificados por descargas atmosféricas."
2025-07-07,":
Local: COR1 e COR2
Atividade: Trackers parados por falhas, voltaram a operar após atuação.",":
Local: PCS1.1 INV1
Atividade: Plano Combiner Box - verificações de performance (concluído).
Local: PCS1.1 INV2
Atividade: Plano Combiner Box - verificações de performance (em andamento).
Local: PCS1.3
Atividade: Plano Skid - checklist mensal/quinzenal (concluído).
Local: PCS2.1 INV2
Atividade: Plano Combiner Box - verificações de performance (concluído) - André e Arenilson.",":
Preenchimento de documentação.",":
Inversores: todos em operação.
Combiner Box: todas em operação.
Trackers: todos em operação.
Módulos FTV: em operação, exceto os danificados por descargas atmosféricas."
2025-07-08,":
Local: COR1 e COR2
Atividade: Trackers parados por falhas, voltaram a operar após atuação.
Trackers que perderam comunicação após reset:
PCS2.4 TR121 (Realizado inject; em operação)
PCS2.5 TR47 (Realizado inject; em operação)",":
Local: PCS1.1 INV2
Atividade: Plano Combiner Box - verificações de performance (concluído).
Local: PCS1.2 INV1
Atividade: Plano Combiner Box - verificações de performance (em andamento).
Local: PCS1.4
Atividade: Plano Skid - checklist mensal/quinzenal (concluído).
Local: PCS2.2 INV2
Atividade: Plano Combiner Box - verificações de performance (em andamento) - André e Arenilson.",":
Preenchimento de documentação.",":
Inversores: todos em operação.
Combiner Box: todas em operação.
Trackers: todos em operação.
Módulos FTV: em operação, exceto os danificados por descargas atmosféricas."
2025-07-09,":
Local: PCS1.2.1 CB9 STR8
Atividade: Identificado em manutenção preventiva, string zerada 0A; conectores MC4 danificados; após substituição voltou a operar 100%.
Local: PCS2.1 CBX-8 STR24
Atividade: Identificado string zerada (Cabo PV solar rompido). Substituição realizada; combiner operando normalmente.
Local: PCS2.1 TR63
Atividade: Reparo no eixo cardan avariado; tracker operando normalmente.",":
Local: PCS1.2 INV1
Atividade: Plano Combiner Box - verificações de performance (concluído).
Local: PCS1.5
Atividade: Plano Skid - checklist mensal/quinzenal (concluído).
Local: PCS2.1 INV1
Atividade: Plano Combiner Box - verificações de performance (em andamento).",":
Preenchimento de documentação.
Encerramento de ordens de serviços.
Abertura de chamado à garantia Sungrow (Ventilador substituído, PCS2.1 INV-2).",":
Inversores: todos em operação.
Combiner Box: todas em operação.
Trackers: todos em operação.
Módulos FTV: em operação, exceto os danificados por descargas atmosféricas."
2025-07-10,":
Local: PCS2.1 INV-2
Atividade: Inversor parou por falha (Proteção PDP). Identificado mau contato nas conexões dos módulos de fases. Após correção, inversor partiu normalmente.",":
Local: PCS2.1 INV1
Atividade: Plano Combiner Box - verificações de performance (concluído).
Local: PCS2.2 INV-2
Atividade: Plano Combiner Box - verificações de performance (em andamento).",":
Preenchimento de documentação.",":
Inversores: todos em operação.
Combiner Box: todas em operação.
Trackers: todos em operação.
Módulos FTV: em operação, exceto os danificados por descargas atmosféricas."
2025-07-11,":
Local: COR1 & COR2
Atividade: Trackers parados por falhas - retornaram a operação após atuação.",":
Local: PCS2.1
Atividade: Plano PCS / SKID Check-list Mensal (concluído).
Local: PCS2.2
Atividade: Plano PCS / SKID Check-list Mensal (concluído).
Local: COR2 ESMT-1
Atividade: Plano Estação Meteorológica Check-list Mensal (concluído).",":
Preenchimento de documentação.
Encerramento de ordens de serviços.",":
Inversores: todos em operação.
Combiner Box: todas em operação.
Trackers: todos em operação.
Módulos FTV: em operação, exceto os danificados por descargas atmosféricas."
2025-07-12,":
Local: COR1 & COR2
Atividade: Atuação em trackers parados por falhas - retornou a operação após correção.
Atividade: Monitoramento remoto de equipamentos e acompanhamento diário de geração da UFV via Scada.",,":
Preenchimento de documentações.
Desmontagem e embalagem da internet Starlink para devolução.",":
Inversores: todos em operação.
Combiner Box: todas em operação.
Trackers: todos em operação.
Módulos FTV: em operação, exceto os danificados por descargas atmosféricas."
2025-07-13,":
Local: COR1 & COR2
Atividade: Atuação em trackers parados por falhas - retornou a operação após correção.
Atividade: Monitoramento remoto de equipamentos e acompanhamento diário de geração da UFV via Scada.",,":
Preenchimento de documentações.
Encerramento de ordens de serviços.",":
Inversores: Todos em operação
Combiner Box: Todas em operação
Trackers: Todos em operação
Módulos Ftv: Em operação, exceto os danificados por descargas atmosféricas."
2025-07-14,":
Local: COR1 & COR2
Atividade: Atuação em trackers parados por falhas - retornou a operação após correção.",":
Local: PCS2.4 INV-1
Atividade: Plano Inversor Central - MV Station - Check-list Semestral / Trimestral (concluído).
Local: PCS2.4 INV-2
Atividade: Plano Inversor Central - MV Station - Check-list Semestral / Trimestral (concluído).",":
Configuração de Ventilador (Inversor) FAN1 para FAN2.
Preenchimento de documentações.
Encerramento de ordens de serviços.",":
Inversores: Todos em operação
Combiner Box: Todas em operação
Trackers: Todos em operação
Módulos Ftv: Em operação, exceto os danificados por descargas atmosféricas."
2025-07-15,":
COR1 e COR2: Trackers parados por falhas, voltaram a operar após atuação.",":
PCS2.2 INV2: Verificações de performance em Combiner Box (concluído).
PCS2.3: Check-list mensal no PCS / SKID (concluído).
PCS1.2 INV2: Análise de performance - Combiner Box (finalizado).",":
Preenchimento de documentação.
Encerramento de ordens de serviço.",":
Inversores: Todos em operação
Combiner Box: Todas em operação
Trackers: Todos em operação
Módulos FTV: Em operação (exceto danificados por descarga atmosférica)"
2025-07-16,":
COR1 e COR2: Trackers parados, voltaram a operar após atuação.
PCS1.3 INV1: Substituição de fusível na CBX-03, STRING 5.",":
PCS1.3 INV1: Verificações de performance em Combiner Box (em andamento).",":
Preenchimento de documentação.",":
Inversores: Todos em operação
Combiner Box: Todas em operação
Trackers: Todos em operação
Módulos FTV: Em operação (exceto danificados por descarga atmosférica)"
2025-07-17,":
PCS2.1 INV1: Inversor não partiu (falha GFDI). Strings com baixa isolação nas CBXs 2 e 8 foram retiradas. Inversor voltou à operação.
COR1 e COR2: Trackers parados por falhas, retornaram após atuação.",":
PCS2.3 INV1: Verificações de performance em Combiner Box (em andamento).
PCS1.3 INV1: Verificações de performance em Combiner Box (finalizado).",":
Preenchimento de documentação.",":
Inversores: Todos em operação
Combiner Box: Todas em operação
Trackers: Todos em operação
Módulos FTV: Em operação (exceto danificados por descarga atmosférica)"
2025-07-18,":
PCS2.1 INV2: Inversor não iniciou operação (falha ""Módulo falt""). Após correção, voltou a operar.
COR1 & COR2: Trackers parados, retornaram após correções.
 Monitoramento:
Acompanhamento remoto via SCADA da geração e dos equipamentos.",,":
Preenchimento de documentações.",":
Inversores: Todos em operação
Combiner Box: Todas em operação
Trackers: Todos em operação
Módulos FTV: Em operação (exceto danificados por descarga atmosférica)"
2025-07-19,":
COR1 & COR2: Trackers parados por falhas, retornaram após correções.
 Monitoramento:
Acompanhamento remoto via SCADA da geração e dos equipamentos.",,":
Preenchimento de documentações.",":
Inversores: Todos em operação
Combiner Box: Todas em operação
Trackers: Todos em operação
Módulos FTV: Em operação (exceto danificados por descarga atmosférica)"
2025-07-20,":
COR1 & COR2: Trackers parados por falhas, retornaram após atuação.
PCS1.2 TR30, PCS1.1 TR1, PCS1.3 TR121, PCS2.5 TR13: Trackers entraram em modo FACT e foram resetados. Retornaram à operação.
 Monitoramento:
Acompanhamento remoto via SCADA da geração e dos equipamentos.",,,":
Inversores: Todos em operação
Combiner Box: Todas em operação
Trackers: Todos em operação
Módulos FTV: Em operação (exceto danificados por descarga atmosférica)"
